File,Average Word Count,Lexical Diversity (TTR),Most Common Words
Amherst College.csv,85,0.6337209302325582,"[('community', 3), ('decision', 3), ('student', 3), ('body', 3), ('supreme', 2), ('law', 2), ('commitment', 2), ('diverse', 2), ('college', 2), ('remain', 2), ('amherst', 1), ('writing', 1), ('express', 1), ('grave', 1), ('disappointment', 1), ('today’s', 1), ('us', 1), ('court', 1), ('regarding', 1), ('raceconscious', 1), ('admissions', 1), ('practices', 1), ('changed', 1), ('change', 1), ('building', 1), ('perspectives', 1), ('backgrounds', 1), ('experiences', 1), ('believe', 1), ('vital', 1), ('success', 1), ('residential', 1), ('living', 1), ('learning', 1), ('anticipating', 1), ('preparing', 1), ('court’s', 1), ('many', 1), ('months', 1), ('take', 1), ('time', 1), ('evaluate', 1), ('full', 1), ('implications', 1), ('resolute', 1), ('recruiting', 1), ('dimensions', 1), ('accordance', 1), ('profoundly', 1), ('grateful', 1), ('share', 1), ('intellectual', 1), ('curiosity', 1), ('passion', 1), ('dedication', 1), ('make', 1), ('special', 1), ('confident', 1), ('alumni', 1), ('students', 1), ('continue', 1), ('proud', 1), ('tradition', 1), ('translating', 1), ('learned', 1), ('positive', 1), ('impact', 1), ('world', 1), ('far', 1)]"
Babson College.csv,227,0.56282722513089,"[('babson', 5), ('continue', 5), ('ruling', 4), ('admissions', 4), ('diverse', 4), ('supreme', 3), ('court', 3), ('belonging', 3), ('student', 3), ('institution', 3), ('students', 3), ('remains', 2), ('remain', 2), ('holistic', 2), ('values', 2), ('diversity', 2), ('equity', 2), ('body', 2), ('across', 2), ('mission', 2), ('learning', 2), ('experiences', 2), ('critical', 2), ('entrepreneurial', 2), ('prepare', 2), ('academic', 2), ('community', 2), ('inclusive', 2), ('raceconscious', 1), ('aka', 1), ('affirmative', 1), ('action', 1), ('many', 1), ('know', 1), ('today’s', 1), ('decided', 1), ('harvard', 1), ('unc’s', 1), ('programs', 1), ('violate', 1), ('equal', 1), ('protection', 1), ('clause', 1), ('14th', 1), ('amendment', 1), ('immensely', 1), ('disappointed', 1), ('though', 1), ('agree', 1), ('decision', 1), ('legal', 1), ('obligation', 1), ('comply', 1), ('within', 1), ('context', 1), ('undeterred', 1), ('working', 1), ('tirelessly', 1), ('ensure', 1), ('processes', 1), ('reflective', 1), ('institutional', 1), ('uphold', 1), ('unwavering', 1), ('commitment', 1), ('advancing', 1), ('inclusion', 1), ('communities', 1), ('strategic', 1)]"
Barnard College.csv,265,0.5151515151515151,"[('ruling', 7), ('barnard', 6), ('us', 5), ('community', 4), ('college', 4), ('challenge', 3), ('diversity', 3), ('student', 3), ('body', 3), ('mission', 3), ('today’s', 2), ('race', 2), ('presents', 2), ('continue', 2), ('equity', 2), ('nation', 2), ('greatest', 2), ('institutions', 2), ('remains', 2), ('committed', 2), ('inclusion', 2), ('adapt', 2), ('new', 2), ('created', 2), ('higher', 2), ('education', 2), ('emphasized', 2), ('diverse', 2), ('different', 2), ('commitment', 2), ('environment', 2), ('day', 2), ('past', 2), ('think', 2), ('time', 2), ('months', 2), ('respond', 2), ('dear', 1), ('members', 1), ('supreme', 1), ('court', 1), ('limiting', 1), ('consideration', 1), ('admissions', 1), ('historic', 1), ('strive', 1), ('deeply', 1), ('even', 1), ('legal', 1), ('landscape', 1), ('august', 1), ('2022', 1), ('along', 1), ('32', 1), ('submitted', 1), ('amicus', 1), ('brief', 1), ('educational', 1), ('benefits', 1), ('building', 1), ('backgrounds', 1), ('varied', 1), ('experiences', 1), ('viewpoints', 1), ('enshrined', 1), ('institutional', 1), ('states', 1), ('“located', 1), ('cosmopolitan', 1)]"
Bates College.csv,312,0.48026315789473684,"[('students', 9), ('bates', 6), ('decision', 5), ('also', 5), ('education', 4), ('opportunity', 4), ('college', 4), ('commitment', 4), ('learn', 4), ('continue', 4), ('many', 3), ('court’s', 3), ('teach', 3), ('diverse', 3), ('work', 3), ('court', 2), ('ruling', 2), ('years', 2), ('practices', 2), ('role', 2), ('informed', 2), ('potential', 2), ('law', 2), ('time', 2), ('first', 2), ('new', 2), ('black', 2), ('white', 2), ('together', 2), ('would', 2), ('mission', 2), ('understand', 2), ('essential', 2), ('world', 2), ('beyond', 2), ('classroom', 2), ('community', 2), ('environment', 2), ('opportunities', 2), ('move', 2), ('forward', 2), ('allow', 2), ('best', 2), ('deeply', 1), ('disappointed', 1), ('today’s', 1), ('supreme', 1), ('turns', 1), ('back', 1), ('clock', 1), ('45', 1), ('established', 1), ('constitutional', 1), ('principle', 1), ('significantly', 1), ('restricts', 1), ('admissions', 1), ('used', 1), ('colleges', 1), ('universities', 1), ('including', 1), ('fails', 1), ('acknowledge', 1), ('race', 1), ('american', 1), ('history', 1), ('contemporary', 1), ('social', 1), ('structures', 1)]"
Boston College.csv,215,0.5759312320916905,"[('college', 8), ('boston', 5), ('students', 5), ('education', 4), ('student', 4), ('university', 4), ('admission', 3), ('higher', 3), ('diverse', 3), ('american', 3), ('court', 2), ('race', 2), ('talented', 2), ('body', 2), ('intellectual', 2), ('undergraduate', 2), ('percent', 2), ('attend', 2), ('enrolling', 2), ('within', 2), ('new', 2), ('program', 2), ('colleges', 2), ('universities', 2), ('academic', 2), ('year', 2), ('law', 2), ('today’s', 1), ('supreme', 1), ('ruling', 1), ('banning', 1), ('inclusion', 1), ('factor', 1), ('process', 1), ('frustrating', 1), ('departure', 1), ('decadeslong', 1), ('judicial', 1), ('precedent', 1), ('consideration', 1), ('decisions', 1), ('enabled', 1), ('institutions', 1), ('like', 1), ('identify', 1), ('enroll', 1), ('graduate', 1), ('racial', 1), ('groups', 1), ('greatly', 1), ('benefitted', 1), ('varied', 1), ('backgrounds', 1), ('enriched', 1), ('discourse', 1), ('social', 1), ('life', 1), ('campus', 1), ('august', 1), ('welcome', 1), ('accomplished', 1), ('racially', 1), ('class', 1), ('record', 1), ('39', 1), ('identifying', 1), ('ahana', 1), ('african', 1), ('hispanic', 1)]"
Boston University.csv,181,0.5292397660818714,"[('community', 5), ('inclusive', 5), ('university', 5), ('diverse', 5), ('excellence', 4), ('boston', 4), ('student', 4), ('academic', 3), ('body', 3), ('students', 3), ('diversity', 2), ('ruling', 2), ('admissions', 2), ('practices', 2), ('less', 2), ('decision', 2), ('commitment', 2), ('maintaining', 2), ('economically', 2), ('disadvantaged', 2), ('walk', 1), ('around', 1), ('campus', 1), ('look', 1), ('freshmen', 1), ('matriculation', 1), ('september', 1), ('graduates', 1), ('nickerson', 1), ('field', 1), ('see', 1), ('intentional', 1), ('building', 1), ('based', 1), ('believe', 1), ('result', 1), ('model', 1), ('country', 1), ('supreme', 1), ('court', 1), ('united', 1), ('states', 1), ('scotus—in', 1), ('cases', 1), ('addressing', 1), ('harvard', 1), ('north', 1), ('carolina—is', 1), ('profoundly', 1), ('disappointing', 1), ('takes', 1), ('us', 1), ('backward', 1), ('potentially', 1), ('creating', 1), ('college', 1), ('campuses', 1), ('america', 1), ('antithetical', 1), ('university’s', 1), ('values', 1), ('mission', 1), ('limits', 1), ('powerful', 1), ('tools', 1), ('universities', 1), ('used', 1), ('promote', 1), ('access', 1)]"
Bowdoin College.csv,124,0.6211453744493393,"[('opinion', 3), ('students', 3), ('admissions', 3), ('work', 3), ('community', 2), ('court', 2), ('fair', 2), ('v', 2), ('college', 2), ('cases', 2), ('time', 2), ('decision', 2), ('undermines', 2), ('experience', 2), ('diverse', 2), ('opportunity', 2), ('bowdoin', 1), ('us', 1), ('supreme', 1), ('handed', 1), ('morning', 1), ('president', 1), ('fellows', 1), ('harvard', 1), ('university', 1), ('north', 1), ('carolina—the', 1), ('two', 1), ('concerning', 1), ('raceconscious', 1), ('policies', 1), ('quite', 1), ('lengthy', 1), ('take', 1), ('fully', 1), ('understand', 1), ('ramifications', 1), ('even', 1), ('clear', 1), ('deeply', 1), ('disappointing', 1), ('overturned', 1), ('forty', 1), ('years', 1), ('precedent', 1), ('enhanced', 1), ('diversity', 1), ('campus', 1), ('communities', 1), ('presidentelect', 1), ('safa', 1), ('zaki', 1), ('discussed', 1), ('share', 1), ('view', 1), ('today’s', 1), ('essential', 1), ('create', 1), ('educational', 1), ('environment', 1), ('prepares', 1), ('worlds', 1), ('informed', 1), ('political', 1), ('social', 1), ('engagement', 1), ('also', 1), ('believe', 1), ('longterm', 1)]"
Brown University.csv,318,0.4904679376083189,"[('brown', 9), ('admissions', 6), ('diversity', 5), ('students', 5), ('decision', 5), ('court’s', 4), ('achieving', 4), ('affirmative', 3), ('action', 3), ('university', 3), ('student', 3), ('body', 3), ('race', 3), ('decisions', 3), ('review', 3), ('law', 3), ('strategies', 3), ('supreme', 2), ('ruling', 2), ('community', 2), ('support', 2), ('higher', 2), ('education', 2), ('educational', 2), ('mission', 2), ('consideration', 2), ('factors', 2), ('diverse', 2), ('test', 2), ('question', 2), ('—', 2), ('given', 2), ('brown’s', 2), ('court', 2), ('cases', 2), ('fair', 2), ('v', 2), ('programs', 2), ('admitting', 2), ('universities', 2), ('institutions', 2), ('continue', 2), ('know', 2), ('committed', 2), ('central', 2), ('academic', 2), ('also', 2), ('determine', 2), ('complete', 2), ('office', 2), ('provost', 2), ('units', 2), ('work', 2), ('dear', 1), ('members', 1), ('across', 1), ('20', 1), ('years', 1), ('joined', 1), ('less', 1), ('eight', 1), ('amicus', 1), ('briefs', 1), ('use', 1), ('values', 1), ('remained', 1), ('constant', 1), ('believe', 1), ('essential', 1)]"
California Institute of Technology.csv,275,0.5171026156941649,"[('students', 5), ('individuals', 4), ('commitment', 4), ('caltech', 3), ('world', 3), ('caltechs', 3), ('different', 3), ('inclusive', 3), ('community', 3), ('admissions', 3), ('practices', 3), ('continue', 3), ('backgrounds', 3), ('people', 2), ('staff', 2), ('informed', 2), ('life', 2), ('experiences', 2), ('ideas', 2), ('impact', 2), ('us', 2), ('court', 2), ('decision', 2), ('universities', 2), ('race', 2), ('within', 2), ('ruling', 2), ('scholars', 2), ('academic', 2), ('mission', 2), ('values', 2), ('time', 2), ('expanding', 2), ('society', 2), ('realize', 2), ('potential', 2), ('opportunities', 2), ('talented', 2), ('investment', 2), ('support', 2), ('explore', 2), ('science', 2), ('power', 1), ('comes', 1), ('exceptionally', 1), ('bright', 1), ('creative', 1), ('faculty', 1), ('hailing', 1), ('every', 1), ('state', 1), ('country', 1), ('nations', 1), ('around', 1), ('small', 1), ('towns', 1), ('big', 1), ('cities', 1), ('poverty', 1), ('privilege', 1), ('identifying', 1), ('female', 1), ('male', 1), ('nonbinary', 1), ('embodying', 1), ('spectrum', 1), ('races', 1), ('ethnicities', 1), ('diversity', 1)]"
California Institute of the Arts.csv,133,0.5933609958506224,"[('admissions', 4), ('process', 4), ('race', 3), ('decision', 3), ('court', 2), ('decisions', 2), ('college', 2), ('consider', 2), ('ethnicity', 2), ('ruling', 2), ('calarts', 2), ('community', 2), ('diversity', 2), ('perspectives', 2), ('impact', 2), ('education', 2), ('dear', 1), ('calartians', 1), ('us', 1), ('supreme', 1), ('issued', 1), ('two', 1), ('cases', 1), ('regarding', 1), ('affirmative', 1), ('action', 1), ('consideration', 1), ('factor', 1), ('determined', 1), ('use', 1), ('raceconscious', 1), ('practiced', 1), ('harvard', 1), ('university', 1), ('north', 1), ('carolina', 1), ('chapel', 1), ('hill', 1), ('unconstitutional', 1), ('significantly', 1), ('curtail', 1), ('ability', 1), ('colleges', 1), ('universities', 1), ('nationwide', 1), ('implications', 1), ('important', 1), ('note', 1), ('always', 1), ('engaged', 1), ('holistic', 1), ('qualitative', 1), ('admission', 1), ('directly', 1), ('applicants’', 1), ('place', 1), ('extraordinary', 1), ('value', 1), ('developing', 1), ('welcomes', 1), ('embraces', 1), ('broad', 1), ('backgrounds', 1), ('identities', 1), ('court’s', 1), ('effect', 1), ('must', 1), ('acknowledge', 1), ('across', 1)]"
Carleton College.csv,312,0.48596491228070177,"[('diversity', 8), ('admissions', 7), ('students', 7), ('court', 6), ('universities', 4), ('know', 4), ('commitment', 4), ('community', 4), ('environment', 4), ('continue', 4), ('colleges', 3), ('raceconscious', 3), ('carleton', 3), ('student', 3), ('work', 3), ('diverse', 3), ('process', 3), ('month', 2), ('supreme', 2), ('ruling', 2), ('applicant’s', 2), ('race', 2), ('court’s', 2), ('decision', 2), ('last', 2), ('university', 2), ('north', 2), ('carolina', 2), ('harvard', 2), ('practices', 2), ('increasing', 2), ('body', 2), ('may', 2), ('build', 2), ('within', 2), ('faculty', 2), ('staff', 2), ('liberal', 2), ('arts', 2), ('college’s', 2), ('learning', 2), ('together', 2), ('equity', 2), ('goal', 2), ('campus', 2), ('support', 2), ('make', 2), ('united', 1), ('states', 1), ('expected', 1), ('issue', 1), ('whether', 1), ('consider', 1), ('evaluating', 1), ('application', 1), ('admission', 1), ('don’t', 1), ('yet', 1), ('nature', 1), ('questions', 1), ('asked', 1), ('oral', 1), ('arguments', 1), ('october', 1), ('lead', 1), ('commentators', 1), ('legal', 1), ('experts', 1), ('́to', 1)]"
Carnegie Mellon University.csv,274,0.5240963855421686,"[('cmu', 7), ('community', 5), ('access', 5), ('students', 5), ('diversity', 5), ('commitment', 4), ('opportunity', 4), ('student', 4), ('programs', 3), ('education', 3), ('diverse', 3), ('support', 3), ('resources', 3), ('members', 2), ('today', 2), ('us', 2), ('court', 2), ('admissions', 2), ('university', 2), ('remain', 2), ('steadfast', 2), ('law', 2), ('admitted', 2), ('including', 2), ('many', 2), ('scholars', 2), ('world', 2), ('practices', 2), ('—', 2), ('assure', 2), ('mission', 2), ('backgrounds', 2), ('financial', 2), ('carnegie', 2), ('mellon', 2), ('impact', 2), ('inclusion', 2), ('dear', 1), ('supreme', 1), ('ruled', 1), ('harvard', 1), ('unc', 1), ('raceconscious', 1), ('cannot', 1), ('reconciled', 1), ('equal', 1), ('protection', 1), ('clause', 1), ('constitution', 1), ('founded', 1), ('expand', 1), ('key', 1), ('creating', 1), ('transformative', 1), ('educational', 1), ('experience', 1), ('studying', 1), ('opinion', 1), ('determine', 1), ('implications', 1), ('processes', 1), ('confidence', 1), ('ability', 1), ('follow', 1), ('promote', 1), ('essential', 1), ('fostering', 1), ('vibrant', 1), ('learning', 1)]"
Claremont McKenna College.csv,1,1.0,"[('nan', 1)]"
Colby College.csv,249,0.5378151260504201,"[('colby', 5), ('diversity', 5), ('students', 5), ('us', 4), ('court', 3), ('race', 3), ('among', 3), ('many', 3), ('decision', 3), ('colleges', 3), ('mission', 3), ('ruling', 2), ('use', 2), ('admissions', 2), ('harvard', 2), ('university', 2), ('one', 2), ('selective', 2), ('brief', 2), ('along', 2), ('interest', 2), ('diverse', 2), ('thought', 2), ('experience', 2), ('also', 2), ('experiences', 2), ('excellence', 2), ('commitment', 2), ('earlier', 1), ('today', 1), ('supreme', 1), ('issued', 1), ('cases', 1), ('involving', 1), ('north', 1), ('carolina', 1), ('chapel', 1), ('hill', 1), ('decades', 1), ('held', 1), ('permissible', 1), ('factor', 1), ('decisions', 1), ('overturned', 1), ('precedent', 1), ('likely', 1), ('significant', 1), ('impact', 1), ('america’s', 1), ('universities', 1), ('including', 1), ('encourage', 1), ('read', 1), ('already', 1), ('helped', 1), ('author', 1), ('amicus', 1), ('filed', 1), ('case', 1), ('leading', 1), ('argued', 1), ('compelling', 1), ('institutions', 1), ('nation', 1), ('large', 1), ('argument', 1), ('institutional', 1), ('straightforward', 1), ('education', 1)]"
Colgate University.csv,146,0.5373134328358209,"[('colgate', 9), ('university', 5), ('students', 4), ('steps', 4), ('practices', 3), ('carefully', 3), ('talented', 3), ('review', 3), ('opinion', 2), ('admissions', 2), ('implications', 2), ('determine', 2), ('continue', 2), ('diverse', 2), ('ahead', 2), ('number', 2), ('financial', 2), ('years', 2), ('process', 2), ('support', 2), ('mission', 2), ('today', 1), ('us', 1), ('supreme', 1), ('court', 1), ('released', 1), ('connection', 1), ('two', 1), ('cases', 1), ('challenged', 1), ('permissibility', 1), ('raceconscious', 1), ('public', 1), ('private', 1), ('universities', 1), ('colleges', 1), ('collaboration', 1), ('legal', 1), ('counsel', 1), ('reviewing', 1), ('potential', 1), ('working', 1), ('best', 1), ('course', 1), ('action', 1), ('recruitment', 1), ('academically', 1), ('decision', 1), ('look', 1), ('future', 1), ('admission', 1), ('cycles', 1), ('dedicated', 1), ('everything', 1), ('possible', 1), ('within', 1), ('confines', 1), ('law', 1), ('recruit', 1), ('backgrounds', 1), ('attend', 1), ('part', 1), ('longstanding', 1), ('efforts', 1), ('attract', 1), ('adopted', 1), ('aid', 1), ('recent', 1), ('first', 1)]"
College of the Ozarks.csv,1,1.0,"[('nan', 1)]"
Colorado College.csv,184,0.6081504702194357,"[('students', 4), ('us', 3), ('race', 3), ('decision', 3), ('student', 3), ('student’s', 3), ('contribute', 3), ('admissions', 2), ('harvard', 2), ('programs', 2), ('racial', 2), ('discrimination', 2), ('benefit', 2), ('must', 2), ('tied', 2), ('courage', 2), ('unique', 2), ('today’s', 2), ('continue', 2), ('creative', 2), ('learn', 2), ('diverse', 2), ('today', 1), ('fair', 1), ('inc', 1), ('v', 1), ('president', 1), ('fellows', 1), ('college', 1), ('supreme', 1), ('court', 1), ('held', 1), ('unc', 1), ('violate', 1), ('equal', 1), ('protection', 1), ('clause', 1), ('constitution', 1), ('“lack', 1), ('sufficiently', 1), ('focused', 1), ('measurable', 1), ('objectives', 1), ('warranting', 1), ('use', 1), ('unavoidably', 1), ('employ', 1), ('negative', 1), ('manner', 1), ('involve', 1), ('stereotyping', 1), ('lack', 1), ('meaningful', 1), ('end', 1), ('points”', 1), ('importantly', 1), ('court’s', 1), ('also', 1), ('emphasizes', 1), ('“nothing', 1), ('opinion', 1), ('construed', 1), ('prohibiting', 1), ('universities', 1), ('considering', 1), ('applicant’s', 1), ('discussion', 1), ('affected', 1), ('life', 1)]"
Columbia University.csv,528,0.4880952380952381,"[('students', 9), ('universities', 7), ('admissions', 7), ('court', 6), ('diverse', 6), ('university', 5), ('must', 5), ('applicants', 5), ('tests', 5), ('many', 4), ('court’s', 4), ('studies', 4), ('years', 3), ('affirmative', 3), ('action', 3), ('higher', 3), ('education', 3), ('including', 3), ('decision', 3), ('diversity', 3), ('ruling', 3), ('institutions', 3), ('ways', 3), ('may', 3), ('scores', 3), ('process', 3), ('columbia', 3), ('undergraduate', 3), ('general', 3), ('ago', 2), ('supreme', 2), ('grutter', 2), ('v', 2), ('bakke', 2), ('1978', 2), ('amendment', 2), ('american', 2), ('president', 2), ('use', 2), ('holistic', 2), ('course', 2), ('world', 2), ('good', 2), ('decades', 2), ('well', 2), ('experience', 2), ('learning', 2), ('benefit', 2), ('understanding', 2), ('leadership', 2), ('open', 2), ('time', 2), ('understand', 2), ('law', 2), ('remain', 2), ('lead', 2), ('right', 2), ('find', 2), ('new', 2), ('although', 2), ('believe', 2), ('go', 2), ('moment', 2), ('even', 2), ('extent', 2), ('graduate', 2), ('engaged', 2), ('consider', 2), ('standardised', 2)]"
Cooper Union for the Advancement of Science and Art.csv,143,0.5882352941176471,"[('cooper', 7), ('students', 4), ('union', 3), ('process', 3), ('student', 3), ('continue', 3), ('race', 2), ('gender', 2), ('religion', 2), ('socioeconomic', 2), ('status', 2), ('applicants', 2), ('based', 2), ('admissions', 2), ('half', 2), ('new', 2), ('york', 2), ('backgrounds', 2), ('experiences', 2), ('alter', 2), ('commitment', 2), ('since', 1), ('1859', 1), ('committed', 1), ('opening', 1), ('doors', 1), ('every', 1), ('background', 1), ('founder', 1), ('peter', 1), ('held', 1), ('vision', 1), ('institution', 1), ('would', 1), ('enroll', 1), ('without', 1), ('regard', 1), ('160', 1), ('years', 1), ('later', 1), ('fundamental', 1), ('principle', 1), ('lives', 1), ('discriminate', 1), ('nothing', 1), ('current', 1), ('provides', 1), ('favorable', 1), ('unfavorable', 1), ('treatment', 1), ('factors', 1), ('cooper’s', 1), ('body', 1), ('roots', 1), ('incredible', 1), ('melting', 1), ('pot', 1), ('city', 1), ('come', 1), ('corners', 1), ('us', 1), ('25', 1), ('countries', 1), ('represent', 1), ('diversity', 1), ('cultures', 1), ('identities', 1), ('kind', 1), ('community', 1)]"
